id,AGE,GENDER,H2,C2,FHD2,FC2,H4,C4,FHD4,FC4,H6,C6,FHD6,FC6,H9,C9,FHD9,FC9,H10,C10,FHD10,FC10,H13,C13,FHD13,FC13,H16,C16,FHD16,FC16
161,21,2,3,1,1,1,5,2,5,1,3,2,3,2,5,2,5,3,5,1,5,1,5,2,1,3,4,3,4,2
162,21,2,5,2,5,2,5,3,5,2,2,4,2,4,1,2,1,2,5,2,1,4,5,1,1,2,3,1,1,3
163,21,2,3,1,3,1,5,1,1,1,3,1,2,1,4,1,4,1,5,2,5,2,1,1,1,2,2,1,1,2
164,22,2,4,2,4,3,5,2,5,3,1,2,1,2,5,3,5,3,5,1,1,1,5,1,1,2,4,2,1,2
166,21,1,3,1,4,2,3,1,1,4,2,4,2,4,2,2,5,2,3,4,3,4,1,1,1,2,2,1,1,1
167,21,2,4,3,4,4,5,4,5,4,5,3,5,3,4,2,4,2,3,4,3,4,3,2,3,2,2,1,2,1
168,21,1,4,2,4,4,1,1,1,2,1,1,2,1,1,1,1,1,5,1,1,1,5,2,5,1,5,4,5,4
169,44,2,1,1,4,2,2,1,1,2,2,3,2,4,4,2,4,2,5,1,1,2,4,1,1,1,2,1,1,3
170,21,2,4,1,4,1,1,3,1,3,5,1,2,1,5,3,5,3,4,1,1,1,5,2,1,2,3,1,1,2
171,21,2,5,3,5,3,5,4,5,3,4,1,2,2,1,3,1,3,5,2,1,3,2,1,1,1,2,1,1,3
172,21,2,2,2,2,2,5,3,5,3,2,3,2,3,4,2,4,2,3,3,3,3,5,1,1,2,3,1,1,2
173,21,2,2,3,4,3,5,3,5,3,2,3,2,3,4,2,4,2,5,1,1,2,2,1,2,1,4,1,1,1
174,20,2,2,2,2,3,2,1,1,1,3,2,2,2,1,1,1,1,5,2,1,2,2,1,1,1,4,1,1,1
175,21,AO05,3,2,4,1,3,1,5,1,3,4,4,1,3,2,4,1,3,4,3,4,1,2,2,1,4,2,1,2
176,21,2,2,2,2,2,3,2,3,2,2,2,2,3,4,4,4,4,3,3,3,4,4,1,4,1,5,3,5,3
177,21,2,5,2,5,2,5,2,1,3,2,3,2,2,2,3,2,2,2,4,2,3,2,2,1,2,3,2,1,4
178,21,2,2,2,2,2,5,2,5,2,2,2,2,2,4,1,4,1,2,1,1,1,1,1,1,1,3,1,1,1
179,20,2,5,1,4,1,5,4,5,4,2,4,2,4,4,1,5,1,3,4,3,2,2,1,1,1,4,1,1,2
180,22,2,5,2,5,2,5,1,1,3,2,3,2,3,4,4,4,3,5,4,5,4,5,2,4,1,2,1,1,3
181,21,1,4,2,4,3,5,1,1,2,3,1,3,1,5,3,5,3,5,3,5,2,1,1,1,2,1,1,1,3
182,21,2,5,2,5,2,5,3,5,3,2,4,2,4,1,2,1,2,1,2,1,3,1,2,1,2,3,1,1,3
183,21,1,2,1,2,2,5,2,5,3,5,3,5,3,4,3,4,3,1,3,1,4,5,1,1,2,1,2,1,3
184,26,1,4,2,4,2,3,1,1,3,4,1,2,2,5,3,5,3,5,1,1,3,5,1,1,2,2,1,1,3
185,20,2,4,4,4,4,3,3,3,3,2,4,2,4,5,4,5,4,1,3,1,4,2,3,2,4,2,2,1,4
186,21,2,1,2,1,2,3,3,1,4,1,2,1,2,5,4,5,4,3,1,1,2,3,2,1,2,3,2,1,3
187,24,1,3,2,3,2,2,2,2,2,1,2,1,1,5,3,5,4,3,4,3,4,3,1,1,1,5,1,1,1
188,21,2,2,3,2,3,5,4,5,4,4,1,2,2,5,4,5,4,3,4,3,4,4,3,1,2,4,2,1,3
189,21,2,4,1,4,4,5,2,1,1,5,1,5,2,3,1,5,1,3,3,1,4,3,1,2,4,1,4,1,4
190,21,1,4,2,4,2,5,3,5,3,4,3,4,3,2,2,2,2,3,3,3,2,2,1,2,1,5,1,1,1
191,21,2,2,4,2,4,5,4,5,4,2,4,2,4,1,3,1,2,3,4,3,4,4,3,4,3,4,1,1,1
192,22,2,5,2,4,3,5,4,5,4,2,4,2,4,4,4,4,4,3,4,3,4,2,1,1,1,3,2,1,3
193,21,2,4,3,4,3,5,3,5,2,2,4,2,4,1,3,1,2,5,2,1,2,3,1,1,1,3,1,1,1
195,23,2,5,2,5,2,3,1,1,2,2,1,2,2,1,3,1,3,3,4,3,4,5,1,1,2,5,1,1,2
196,20,2,1,1,4,2,5,4,5,4,2,4,2,4,5,3,5,3,5,2,5,2,4,1,1,1,4,1,1,1
197,21,1,3,3,3,3,5,4,5,3,1,4,1,3,5,4,5,4,3,4,3,4,5,1,1,1,3,3,3,3
199,21,1,5,2,5,2,4,1,1,2,2,4,2,4,5,3,5,2,1,1,1,2,5,1,5,1,2,1,1,2
200,20,2,5,3,5,2,5,4,5,4,2,4,2,4,4,2,4,2,3,4,3,4,1,1,1,2,3,1,1,3
201,26,1,4,2,4,2,5,4,5,3,1,3,1,2,4,4,4,3,3,3,3,2,2,2,2,2,4,3,1,2
202,21,2,4,3,4,3,5,4,5,2,1,1,2,1,4,3,4,3,5,2,1,3,2,1,1,2,2,2,1,4
