id,AGE,GENDER,H2,C2,FHD2,FC2,H6,C6,FHD6,FC6,H8,C8,FHD8,FC8,H9,C9,FHD9,FC9,H11,C11,FHD11,FC11,H13,C13,FHD13,FC13,H14,C14,FHD14,FC14,H18,C18,FHD18,FC18
162,21,2,5,2,5,2,2,4,2,4,1,2,1,2,1,2,1,2,4,1,4,3,5,1,1,2,4,3,4,4,4,2,4,2
163,21,2,3,1,3,1,3,1,2,1,4,3,4,3,4,1,4,1,2,1,4,1,1,1,1,2,5,2,4,2,4,3,4,3
164,22,2,4,2,4,3,1,2,1,2,4,2,4,2,5,3,5,3,3,2,3,2,5,1,1,2,3,2,3,2,5,3,5,3
166,21,1,3,1,4,2,2,4,2,4,4,1,4,1,2,2,5,2,1,2,1,1,1,1,1,2,1,3,1,3,3,2,2,2
167,21,2,4,3,4,4,5,3,5,3,5,2,5,2,4,2,4,2,1,4,1,4,3,2,3,2,1,4,1,4,4,4,4,4
168,21,1,4,2,4,4,1,1,2,1,2,2,2,3,1,1,1,1,1,1,4,1,5,2,5,1,4,3,4,3,5,2,5,2
169,44,2,1,1,4,2,2,3,2,4,5,2,2,2,4,2,4,2,5,2,5,1,4,1,1,1,5,3,5,2,3,2,3,2
170,21,2,4,1,4,1,5,1,2,1,5,2,5,2,5,3,5,3,1,2,4,2,5,2,1,2,4,2,4,2,1,3,1,3
171,21,2,5,3,5,3,4,1,2,2,1,2,1,3,1,3,1,3,2,1,4,1,2,1,1,1,4,2,4,2,3,1,3,1
172,21,2,2,2,2,2,2,3,2,3,1,2,1,2,4,2,4,2,3,3,3,3,5,1,1,2,5,3,5,3,5,3,5,3
173,21,2,2,3,4,3,2,3,2,3,4,2,4,2,4,2,4,2,1,1,4,1,2,1,2,1,4,2,4,2,4,1,4,1
174,20,2,2,2,2,3,3,2,2,2,1,1,2,1,1,1,1,1,1,2,1,2,2,1,1,1,4,2,4,2,4,2,4,2
